time,open,high,low,close,Volume,OnBalanceVolume
2023-08-29T22:00:00-05:00,27400.55,27426.35,27280.99,27391.13,1733.27718,393986.5440410005
2023-08-29T23:00:00-05:00,27391.14,27446.8,27391.13,27443,741.83502,394728.3790610005
2023-08-30T00:00:00-05:00,27443,27476.03,27435.64,27469.04,623.8542,395352.2332610005
2023-08-30T01:00:00-05:00,27469.05,27469.05,27371.94,27382.21,875.8126,394476.4206610005
2023-08-30T02:00:00-05:00,27382.21,27464.8,27382.21,27436.25,957.43753,395433.8581910005
2023-08-30T03:00:00-05:00,27436.25,27499,27406.65,27470.98,1179.68546,396613.5436510005
2023-08-30T04:00:00-05:00,27470.97,27471.92,27310.05,27426.8,1477.15336,395136.3902910005
2023-08-30T05:00:00-05:00,27426.79,27448.86,27400,27435.44,568.79669,395705.1869810005
2023-08-30T06:00:00-05:00,27435.44,27435.45,27331.45,27338.51,1066.68789,394638.49909100047
2023-08-30T07:00:00-05:00,27338.52,27425,27292.24,27353.64,1666.51156,396305.0106510005
2023-08-30T08:00:00-05:00,27353.64,27464.45,27145.23,27376.07,3215.90683,399520.9174810005
2023-08-30T09:00:00-05:00,27376.07,27424.4,27017.24,27110.01,4624.91525,394896.00223100046
2023-08-30T10:00:00-05:00,27110,27293.9,27036.66,27201.63,2931.78962,397827.79185100045
2023-08-30T11:00:00-05:00,27201.63,27210.84,27067.9,27155.37,1682.43167,396145.36018100043
2023-08-30T12:00:00-05:00,27155.37,27249.99,27117,27167.98,1266.21889,397411.57907100045
2023-08-30T13:00:00-05:00,27167.97,27286.88,27100,27279.98,1146.53159,398558.1106610005
2023-08-30T14:00:00-05:00,27279.98,27286.88,27178.26,27178.28,948.19683,397609.9138310005
2023-08-30T15:00:00-05:00,27178.27,27291.34,27178.27,27250.15,798.05652,398407.9703510005
2023-08-30T16:00:00-05:00,27250.15,27337.78,27250.15,27259.69,748.69344,399156.6637910005
2023-08-30T17:00:00-05:00,27259.69,27326.87,27241,27241,785.42596,398371.2378310005
2023-08-30T18:00:00-05:00,27241,27319.88,27228,27299.99,494.82907,398866.06690100045
2023-08-30T19:00:00-05:00,27299.99,27303.36,27198.7,27222.13,524.79039,398341.27651100047
2023-08-30T20:00:00-05:00,27222.13,27240.69,27179.12,27196.48,629.65419,397711.6223210005
2023-08-30T21:00:00-05:00,27196.48,27233.75,27186.3,27190.01,556.81561,397154.8067110005
2023-08-30T22:00:00-05:00,27190.01,27217.28,27178.88,27217.27,448.14294,397602.9496510005
2023-08-30T23:00:00-05:00,27217.28,27285.68,27215,27252.3,513.52534,398116.4749910005
2023-08-31T00:00:00-05:00,27252.3,27274.31,27226.38,27251.29,463.60802,397652.8669710005
2023-08-31T01:00:00-05:00,27251.29,27290.95,27233.28,27253.2,505.16607,398158.0330410005
2023-08-31T02:00:00-05:00,27253.2,27294.97,27232.88,27261.03,723.86238,398881.8954210005
2023-08-31T03:00:00-05:00,27261.03,27273.97,27222.01,27235.08,746.40612,398135.4893010005
2023-08-31T04:00:00-05:00,27235.08,27235.09,27184.99,27198.27,1062.78551,397072.7037910005
2023-08-31T05:00:00-05:00,27198.26,27226.18,27191.48,27201.83,527.69401,397600.39780100045
2023-08-31T06:00:00-05:00,27201.83,27587.51,27201.17,27303.96,3750.77348,401351.1712810004
2023-08-31T07:00:00-05:00,27303.95,27315.47,27063.08,27192.62,2860.02159,398491.1496910004
2023-08-31T08:00:00-05:00,27192.62,27205.32,27073.14,27149.99,2265.88063,396225.2690610004
2023-08-31T09:00:00-05:00,27149.99,27192.78,27027,27175.66,2072.55887,398297.8279310004
2023-08-31T10:00:00-05:00,27175.67,27179.74,26803.73,26922.01,4168.47827,394129.34966100036
2023-08-31T11:00:00-05:00,26922.01,26924.87,26218.65,26234.23,9337.81648,384791.5331810004
2023-08-31T12:00:00-05:00,26234.22,26400.43,26133.94,26329.07,4324.91773,389116.4509110004
2023-08-31T13:00:00-05:00,26329.08,26387.32,26189.77,26292.23,1827.46445,387288.98646100034
2023-08-31T14:00:00-05:00,26292.24,26319.4,25928,26162.79,4521.91272,382767.0737410003
2023-08-31T15:00:00-05:00,26162.79,26194.86,25959.72,26022.61,2429.77606,380337.2976810003
2023-08-31T16:00:00-05:00,26022.61,26037.97,25655.01,26024.57,4573.05529,384910.3529710003
2023-08-31T17:00:00-05:00,26024.57,26072.73,25976.15,26053.96,1140.40181,386050.7547810003
2023-08-31T18:00:00-05:00,26053.95,26057.99,25912.01,25940.78,1057.29605,384993.4587310003
2023-08-31T19:00:00-05:00,25940.77,26070,25931.11,26051.97,1040.94084,386034.3995710003
2023-08-31T20:00:00-05:00,26051.97,26057.9,25974.13,25985.72,1107.76693,384926.6326410003
2023-08-31T21:00:00-05:00,25985.71,26100,25985.71,26058.62,965.9867,385892.61934100033
2023-08-31T22:00:00-05:00,26058.62,26094.9,26043.63,26081.01,538.83858,386431.4579210003
2023-08-31T23:00:00-05:00,26081,26095,26039,26044.46,577.4744,385853.9835210003
2023-09-01T00:00:00-05:00,26044.46,26057.54,26025.4,26027.27,557.51426,385296.4692610003
2023-09-01T01:00:00-05:00,26027.26,26042.9,25978,25997,838.31043,384458.15883100027
2023-09-01T02:00:00-05:00,25996.99,26015,25979.35,25990.92,866.12656,383592.03227100027
2023-09-01T03:00:00-05:00,25990.92,26014.45,25957.37,25980.46,622.48417,382969.54810100025
